engine,clip,buffer_s,decode_ms
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h01,0.48,333
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h01,0.96,268
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h01,1.44,270
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h01,1.92,277
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h01,2.4,280
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h01,2.88,305
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h01,3.37,303
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h01,3.84,326
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h01,4.32,324
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h01,4.8,325
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h01,5.28,414
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h02,0.48,325
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h02,0.96,284
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h02,1.45,282
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h02,1.93,284
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h02,2.4,286
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h02,2.88,297
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h02,3.37,314
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h02,3.85,312
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h02,4.32,327
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h02,4.8,327
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h02,5.29,371
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h02,5.76,364
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h02,6.25,355
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h02,6.72,370
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h02,7.09,360
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h03,0.48,289
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h03,0.96,270
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h03,1.45,271
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h03,1.93,282
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h03,2.4,292
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h03,2.88,302
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h03,3.37,318
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h03,3.85,328
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h03,4.32,335
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h03,4.66,328
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,0.48,311
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,0.96,273
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,1.44,273
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,1.92,272
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,2.4,286
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,2.88,300
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,3.36,301
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,3.85,306
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,4.33,307
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,4.8,317
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,5.28,346
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,5.76,349
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,6.25,353
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,6.72,348
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,7.2,360
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,7.68,372
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,8.16,387
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,8.64,391
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h04,9.04,388
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,0.48,332
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,0.96,280
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,1.44,286
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,1.92,299
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,2.4,292
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,2.88,295
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,3.37,314
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,3.85,327
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,4.32,334
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,4.8,339
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h05,5.14,339
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,0.48,307
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,0.96,280
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,1.45,285
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,1.93,286
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,2.4,292
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,2.88,311
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,3.37,321
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,3.84,335
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,4.33,345
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,4.8,345
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,5.29,368
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h06,5.65,361
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,0.48,313
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,0.96,273
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,1.45,279
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,1.92,281
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,2.4,287
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,2.88,301
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,3.36,310
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,3.85,314
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,4.33,314
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,4.8,322
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,5.28,342
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,5.76,346
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,6.25,366
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h07,6.72,365
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,0.48,317
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,0.96,273
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,1.44,284
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,1.92,285
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,2.4,289
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,2.88,310
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,3.37,318
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,3.84,323
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,4.32,338
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,4.8,334
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,5.28,361
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h08,5.64,363
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,0.48,322
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,0.96,283
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,1.44,288
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,1.93,284
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,2.4,312
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,2.88,319
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,3.37,341
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,3.84,338
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,4.33,352
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,4.8,350
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h09,5.16,415
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,0.48,320
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,0.96,269
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,1.45,275
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,1.92,269
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,2.4,284
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,2.88,297
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,3.37,299
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,3.85,299
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,4.33,308
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,4.8,328
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,5.29,356
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,5.76,354
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,6.24,370
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,6.72,372
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,7.2,369
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h10,7.57,380
"parakeet-tdt-0.6b-v3-mlx(ctx=256,d=1)",h11,0.48,331
